epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.316,4.43447,4.72816,3.89491,0.00313,0.00029,0.00167,0.00026,4.367,4.06862,3.60163,0.0702206,0.00330882,0.00330882
2,185.189,4.26502,4.23625,3.29203,0.00028,0.00045,0.00014,4e-05,4.50211,inf,3.78706,0.0401548,0.0065764,0.0065764
3,257.524,4.15659,3.85592,2.82878,0.70002,0.00791,0.00299,0.0009,3.92173,3.40861,2.64247,0.0100231,0.00977798,0.00977798
4,332.321,4.00247,3.62021,2.55445,0.01165,0.04635,0.00863,0.00244,3.80824,3.3937,2.5842,0.009703,0.009703,0.009703
5,404.948,3.80273,3.42613,2.35588,0.02212,0.0305,0.01485,0.00545,3.6564,3.46179,2.7304,0.009604,0.009604,0.009604
6,475.022,3.53369,3.21154,2.13258,0.13633,0.0533,0.03966,0.01564,3.24672,2.83131,2.09728,0.009505,0.009505,0.009505
7,547.195,3.2699,3.03803,2.02624,0.06258,0.09164,0.0567,0.02248,3.01047,2.5936,1.93029,0.009406,0.009406,0.009406
8,616.148,3.15389,2.9249,1.88889,0.22077,0.11029,0.06246,0.02726,2.82953,2.53862,1.7705,0.009307,0.009307,0.009307
9,682.809,2.95371,2.75016,1.77623,0.24392,0.09294,0.07359,0.03321,2.71055,2.46474,1.74406,0.009208,0.009208,0.009208
10,750.373,2.84523,2.68173,1.72156,0.13094,0.10192,0.08375,0.04055,2.56895,2.36745,1.64973,0.009109,0.009109,0.009109
11,821.805,2.72759,2.57663,1.67187,0.12801,0.1188,0.09048,0.04357,2.44948,2.3055,1.58251,0.00901,0.00901,0.00901
12,889.643,2.63709,2.51515,1.62697,0.20596,0.13218,0.10842,0.05448,2.37538,2.20296,1.54799,0.008911,0.008911,0.008911
13,957.613,2.58013,2.46586,1.59769,0.29668,0.15243,0.12161,0.06127,2.32112,2.18594,1.51014,0.008812,0.008812,0.008812
14,1027.23,2.51457,2.38532,1.56489,0.27769,0.13914,0.11643,0.05625,2.38533,2.15979,1.53181,0.008713,0.008713,0.008713
15,1096.6,2.463,2.33558,1.54384,0.3888,0.14271,0.12971,0.06677,2.32586,2.18567,1.53323,0.008614,0.008614,0.008614
16,1165.02,2.43364,2.32887,1.5217,0.16669,0.20396,0.16847,0.08555,2.21657,2.11357,1.46008,0.008515,0.008515,0.008515
