epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8903,4.43447,4.72816,3.89491,0.00313,0.00029,0.00167,0.00026,4.367,4.06862,3.60163,0.0702206,0.00330882,0.00330882
2,145.107,4.26502,4.23625,3.29203,0.00028,0.00045,0.00014,4e-05,4.50211,inf,3.78706,0.0401548,0.0065764,0.0065764
3,217.541,4.15659,3.85592,2.82878,0.70002,0.00791,0.00299,0.0009,3.92173,3.40861,2.64247,0.0100231,0.00977798,0.00977798
4,289.005,4.00247,3.62021,2.55445,0.01166,0.04641,0.00864,0.00244,3.80824,3.3937,2.5842,0.009703,0.009703,0.009703
5,361.466,3.80273,3.42613,2.35588,0.02212,0.0305,0.01485,0.00545,3.6564,3.46179,2.7304,0.009604,0.009604,0.009604
6,432.571,3.53369,3.21154,2.13258,0.13568,0.05365,0.03965,0.01564,3.24672,2.83131,2.09728,0.009505,0.009505,0.009505
7,502.924,3.2699,3.03803,2.02624,0.06258,0.09164,0.0567,0.02248,3.01047,2.5936,1.93029,0.009406,0.009406,0.009406
8,573.079,3.15389,2.9249,1.88889,0.22077,0.11029,0.06248,0.02727,2.82953,2.53862,1.7705,0.009307,0.009307,0.009307
9,640.767,2.95371,2.75016,1.77623,0.24392,0.09294,0.07358,0.03321,2.71055,2.46474,1.74406,0.009208,0.009208,0.009208
10,711.43,2.84523,2.68173,1.72156,0.13116,0.10199,0.08382,0.04057,2.56895,2.36745,1.64973,0.009109,0.009109,0.009109
11,781.621,2.72759,2.57663,1.67187,0.12793,0.11879,0.09047,0.04358,2.44948,2.3055,1.58251,0.00901,0.00901,0.00901
12,853.212,2.63709,2.51515,1.62697,0.20597,0.13219,0.10844,0.05448,2.37538,2.20296,1.54799,0.008911,0.008911,0.008911
13,920.609,2.58013,2.46586,1.59769,0.29668,0.15243,0.12146,0.06123,2.32112,2.18594,1.51014,0.008812,0.008812,0.008812
14,989.707,2.51457,2.38532,1.56489,0.27774,0.13919,0.11644,0.0563,2.38533,2.15979,1.53181,0.008713,0.008713,0.008713
15,1059.35,2.463,2.33558,1.54384,0.3888,0.14271,0.12971,0.06678,2.32586,2.18567,1.53323,0.008614,0.008614,0.008614
16,1132.08,2.43364,2.32887,1.5217,0.16669,0.20396,0.16855,0.08558,2.21657,2.11357,1.46008,0.008515,0.008515,0.008515
17,1197.94,2.39777,2.2652,1.50484,0.17448,0.22614,0.18963,0.09894,2.22358,1.97236,1.4355,0.008416,0.008416,0.008416
18,1265.58,2.37595,2.2482,1.48105,0.17922,0.23548,0.18898,0.09614,2.19086,1.99301,1.42587,0.008317,0.008317,0.008317
19,1333.91,2.33327,2.18285,1.46108,0.30641,0.23595,0.19275,0.09851,2.23324,1.98999,1.4238,0.008218,0.008218,0.008218
20,1400.21,2.32099,2.16695,1.45024,0.13109,0.26305,0.18276,0.08457,2.34361,2.02099,1.46354,0.008119,0.008119,0.008119
21,1471.92,2.27336,2.16552,1.44084,0.39568,0.2408,0.21621,0.11323,2.15019,1.93248,1.39385,0.00802,0.00802,0.00802
22,1538.45,2.25153,2.08872,1.42381,0.32393,0.26949,0.1981,0.09903,2.1543,1.89512,1.39121,0.007921,0.007921,0.007921
23,1604.48,2.25059,2.09839,1.42533,0.29039,0.2585,0.21734,0.1171,2.11058,1.9035,1.37662,0.007822,0.007822,0.007822
24,1669.09,2.23723,2.06511,1.40596,0.27518,0.25416,0.23587,0.13012,2.07324,1.84391,1.36268,0.007723,0.007723,0.007723
25,1740.94,2.21038,2.04185,1.39267,0.25406,0.29688,0.25372,0.1413,2.03784,1.82283,1.34273,0.007624,0.007624,0.007624
26,1807.77,2.19708,2.02296,1.38889,0.48585,0.26332,0.2301,0.1261,2.07142,1.82243,1.35925,0.007525,0.007525,0.007525
27,1872.51,2.19668,2.03155,1.39121,0.39699,0.27854,0.23525,0.13369,2.02538,1.78136,1.34098,0.007426,0.007426,0.007426
28,1940.35,2.18378,2.0088,1.38108,0.31627,0.33402,0.26135,0.1507,2.02385,1.77956,1.33061,0.007327,0.007327,0.007327
29,2008.59,2.17025,1.9836,1.36047,0.50255,0.27768,0.25387,0.14516,2.05406,1.76428,1.3398,0.007228,0.007228,0.007228
30,2074.76,2.15796,1.93425,1.36144,0.51455,0.27039,0.26443,0.14794,2.03072,1.74837,1.32428,0.007129,0.007129,0.007129
31,2141.5,2.14002,1.92976,1.34792,0.54151,0.25192,0.26034,0.144,2.01478,1.77462,1.32463,0.00703,0.00703,0.00703
32,2206.03,2.12334,1.91023,1.34706,0.45305,0.30141,0.29112,0.17232,1.97968,1.71349,1.31376,0.006931,0.006931,0.006931
33,2273.47,2.12463,1.91306,1.34689,0.56963,0.2827,0.28216,0.15805,2.00208,1.72883,1.31722,0.006832,0.006832,0.006832
34,2342.58,2.1082,1.90909,1.32977,0.39592,0.29641,0.28378,0.15697,1.98883,1.70263,1.31473,0.006733,0.006733,0.006733
35,2407.86,2.11772,1.89596,1.32876,0.56442,0.29134,0.28658,0.16232,1.97624,1.68949,1.3086,0.006634,0.006634,0.006634
36,2474.63,2.08662,1.85742,1.31616,0.57242,0.28215,0.282,0.1585,1.98844,1.69882,1.32147,0.006535,0.006535,0.006535
37,2540.8,2.10227,1.85012,1.32123,0.53265,0.29639,0.30042,0.17302,1.92075,1.69211,1.28572,0.006436,0.006436,0.006436
