epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,2607.62,2.07446,1.85164,1.32553,0.58071,0.28996,0.2972,0.16355,2.03996,1.69129,1.32356,0.006337,0.006337,0.006337
39,2674.65,2.08617,1.84457,1.31321,0.63308,0.28747,0.31346,0.17783,1.93399,1.66097,1.28425,0.006238,0.006238,0.006238
40,2741.86,2.06869,1.8273,1.32498,0.43639,0.30347,0.30001,0.17766,1.91027,1.63877,1.28304,0.006139,0.006139,0.006139
41,2809.14,2.02878,1.80404,1.31689,0.40647,0.31724,0.31278,0.1688,1.9701,1.65993,1.29371,0.00604,0.00604,0.00604
42,2872.91,2.03251,1.80139,1.31428,0.45049,0.3071,0.32488,0.18936,1.87995,1.62025,1.27129,0.005941,0.005941,0.005941
43,2945.17,2.03022,1.7883,1.30806,0.50688,0.31131,0.31625,0.18644,1.87612,1.63069,1.26835,0.005842,0.005842,0.005842
44,3011.64,2.02693,1.78638,1.30244,0.57729,0.28896,0.31098,0.16511,2.05018,1.67883,1.31119,0.005743,0.005743,0.005743
45,3075.37,2.00831,1.77615,1.29746,0.62502,0.31857,0.3354,0.19985,1.87755,1.5963,1.26226,0.005644,0.005644,0.005644
46,3141.47,1.98434,1.7437,1.28515,0.5819,0.3125,0.32495,0.18229,1.9261,1.60394,1.27986,0.005545,0.005545,0.005545
47,3206.27,2.01465,1.76476,1.28225,0.54482,0.33054,0.34364,0.19643,1.86927,1.59392,1.25514,0.005446,0.005446,0.005446
48,3277.2,1.98692,1.73172,1.2775,0.54886,0.33164,0.34765,0.20611,1.88124,1.58115,1.25769,0.005347,0.005347,0.005347
49,3341.99,1.99191,1.7271,1.27607,0.51509,0.33613,0.35441,0.2016,1.9049,1.56931,1.26436,0.005248,0.005248,0.005248
50,3407.84,1.97983,1.71914,1.29781,0.38032,0.33859,0.3402,0.20106,1.9639,1.59721,1.29794,0.005149,0.005149,0.005149
51,3472.95,1.99288,1.7255,1.2829,0.49756,0.35009,0.36763,0.22076,1.84382,1.53118,1.24353,0.00505,0.00505,0.00505
52,3541.35,1.95967,1.69305,1.25971,0.49714,0.35237,0.358,0.21348,1.84815,1.53166,1.24666,0.004951,0.004951,0.004951
53,3607.21,1.94294,1.66303,1.26214,0.59237,0.32671,0.36044,0.20706,1.89765,1.54244,1.25093,0.004852,0.004852,0.004852
54,3671.19,1.9493,1.65976,1.27233,0.41276,0.33768,0.36993,0.211,1.85398,1.53867,1.24276,0.004753,0.004753,0.004753
55,3737.63,1.9631,1.66238,1.25747,0.43372,0.34567,0.37442,0.21926,1.84968,1.52284,1.24434,0.004654,0.004654,0.004654
56,3801.03,1.94963,1.64817,1.261,0.51384,0.34679,0.3782,0.2272,1.84196,1.50506,1.24078,0.004555,0.004555,0.004555
57,3870.89,1.9491,1.66631,1.27349,0.39631,0.3489,0.3719,0.21389,1.91164,1.55122,1.25579,0.004456,0.004456,0.004456
58,3933.72,1.93619,1.64065,1.24802,0.42482,0.34986,0.36518,0.22074,1.8469,1.51507,1.23551,0.004357,0.004357,0.004357
59,4000.25,1.92955,1.6265,1.25303,0.41212,0.36227,0.37469,0.22442,1.82298,1.48738,1.23947,0.004258,0.004258,0.004258
60,4063.26,1.93287,1.63019,1.25177,0.45144,0.34389,0.38394,0.22997,1.83784,1.49649,1.23301,0.004159,0.004159,0.004159
61,4130.58,1.92965,1.62232,1.23972,0.49383,0.37308,0.38549,0.23679,1.80894,1.48689,1.2223,0.00406,0.00406,0.00406
62,4194.33,1.90999,1.61048,1.2382,0.45818,0.38052,0.39518,0.2424,1.77648,1.466,1.21449,0.003961,0.003961,0.003961
63,4262.07,1.90777,1.61405,1.25533,0.50293,0.36931,0.39295,0.23031,1.82167,1.47942,1.23022,0.003862,0.003862,0.003862
64,4326.64,1.94893,1.60613,1.23978,0.50242,0.33905,0.39557,0.24619,1.79768,1.46432,1.21699,0.003763,0.003763,0.003763
65,4391.02,1.92435,1.61506,1.23624,0.53287,0.34855,0.39429,0.24704,1.78192,1.46099,1.21594,0.003664,0.003664,0.003664
66,4457.36,1.89791,1.60381,1.23915,0.53944,0.35016,0.3935,0.24255,1.80101,1.46317,1.22132,0.003565,0.003565,0.003565
67,4523.08,1.9159,1.59008,1.24222,0.53323,0.37143,0.40412,0.24242,1.86328,1.47515,1.23244,0.003466,0.003466,0.003466
68,4586.3,1.88152,1.57798,1.24683,0.50541,0.36944,0.40251,0.25218,1.81041,1.44619,1.23035,0.003367,0.003367,0.003367
69,4651.45,1.90495,1.59867,1.24545,0.53233,0.37146,0.41099,0.24827,1.80246,1.44138,1.21456,0.003268,0.003268,0.003268
70,4717.64,1.89287,1.5738,1.22646,0.5206,0.37792,0.41108,0.25522,1.78677,1.4285,1.21135,0.003169,0.003169,0.003169
71,4781.61,1.89442,1.56061,1.22845,0.46099,0.38431,0.41419,0.25518,1.79081,1.4204,1.21372,0.00307,0.00307,0.00307
72,4845.13,1.86639,1.55576,1.24535,0.43796,0.41958,0.42514,0.24843,1.82411,1.43385,1.22614,0.002971,0.002971,0.002971
73,4908.62,1.89662,1.55639,1.23597,0.54814,0.3713,0.40547,0.25488,1.77132,1.42141,1.20491,0.002872,0.002872,0.002872
74,4975.88,1.89374,1.56606,1.22741,0.45489,0.39406,0.42583,0.26781,1.766,1.41364,1.20525,0.002773,0.002773,0.002773
75,5038.45,1.89993,1.55842,1.24011,0.47943,0.37901,0.41963,0.26318,1.75693,1.42697,1.2022,0.002674,0.002674,0.002674
76,5103.35,1.87713,1.53757,1.22801,0.43491,0.40166,0.41715,0.26463,1.76089,1.40779,1.20874,0.002575,0.002575,0.002575
77,5166.06,1.9201,1.58374,1.23975,0.60367,0.37164,0.43062,0.26833,1.75243,1.41281,1.20069,0.002476,0.002476,0.002476
78,5229.63,1.88592,1.55149,1.22211,0.52607,0.38765,0.43349,0.26731,1.77145,1.40426,1.20371,0.002377,0.002377,0.002377
79,5296.07,1.87868,1.54757,1.22363,0.55641,0.39981,0.42577,0.26831,1.75833,1.40664,1.20101,0.002278,0.002278,0.002278
80,5360,1.83049,1.50199,1.22355,0.51506,0.40395,0.43277,0.26978,1.78217,1.40863,1.20572,0.002179,0.002179,0.002179
81,5424,1.87772,1.51371,1.22445,0.47227,0.40107,0.42831,0.26941,1.74861,1.39585,1.19722,0.00208,0.00208,0.00208
82,5488.07,1.84693,1.53144,1.22316,0.45875,0.41891,0.43615,0.26784,1.74577,1.38571,1.19715,0.001981,0.001981,0.001981
83,5555.12,1.87532,1.52048,1.2164,0.5719,0.37725,0.42605,0.2599,1.79264,1.40355,1.2095,0.001882,0.001882,0.001882
84,5619.57,1.84696,1.52314,1.21827,0.5205,0.40423,0.4364,0.27748,1.73685,1.38731,1.19605,0.001783,0.001783,0.001783
85,5682.38,1.87285,1.52328,1.23359,0.53672,0.40065,0.43812,0.27821,1.74915,1.38133,1.19505,0.001684,0.001684,0.001684
86,5743.74,1.81793,1.48921,1.21413,0.50575,0.40433,0.44151,0.27252,1.7642,1.37711,1.19892,0.001585,0.001585,0.001585
87,5807.6,1.85653,1.49637,1.22553,0.53846,0.40947,0.44007,0.27648,1.73699,1.36956,1.19187,0.001486,0.001486,0.001486
88,5871.92,1.85212,1.50318,1.20356,0.5578,0.38413,0.44462,0.27661,1.74627,1.36866,1.19115,0.001387,0.001387,0.001387
89,5937.63,1.85378,1.51048,1.21571,0.54572,0.40798,0.44676,0.28057,1.74819,1.36342,1.19413,0.001288,0.001288,0.001288
90,5999.74,1.85437,1.50179,1.20087,0.5866,0.40545,0.44961,0.28075,1.74279,1.37326,1.1912,0.001189,0.001189,0.001189
91,6064.44,1.86162,1.56037,1.22712,0.53677,0.39889,0.42662,0.2599,1.78366,1.4062,1.21337,0.00109,0.00109,0.00109
92,6127.29,1.84328,1.53464,1.22358,0.49276,0.40142,0.4228,0.26652,1.77737,1.3992,1.20599,0.000991,0.000991,0.000991
93,6187.52,1.82871,1.51366,1.2129,0.48931,0.4184,0.43412,0.27247,1.75379,1.38687,1.19642,0.000892,0.000892,0.000892
94,6247.22,1.84246,1.51647,1.21931,0.50249,0.41144,0.43663,0.27312,1.74996,1.37662,1.19585,0.000793,0.000793,0.000793
95,6307.13,1.82797,1.49782,1.20263,0.50688,0.40352,0.44127,0.28075,1.74353,1.37499,1.19345,0.000694,0.000694,0.000694
