epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.994,4.21633,3.8626,2.58506,0.07704,0.0025,7e-05,2e-05,4.10589,12.4988,2.8761,0.0702206,0.00330882,0.00330882
2,990.929,3.66355,3.29622,1.89305,0.01618,0.05266,0.01747,0.00628,3.31248,3.11044,1.87251,0.0401548,0.0065764,0.0065764
3,1309.69,3.40012,3.10584,1.73773,0.39513,0.01059,0.01264,0.00457,3.16962,5.25007,1.84331,0.0100231,0.00977798,0.00977798
4,1654.4,3.19651,3.04383,1.66963,0.0218,0.05833,0.0177,0.00666,2.96224,3.06484,1.71614,0.009703,0.009703,0.009703
5,2296.34,2.97665,2.88896,1.56839,0.25859,0.04259,0.02715,0.01135,2.77634,2.85791,1.59025,0.009604,0.009604,0.009604
6,2896.65,2.93198,2.888,1.55607,0.03555,0.08827,0.03588,0.0156,2.6903,2.68309,1.4938,0.009505,0.009505,0.009505
7,3316.26,2.8013,2.78109,1.5079,0.02809,0.0859,0.03312,0.01402,2.70443,2.73425,1.5194,0.009406,0.009406,0.009406
8,3748.6,2.68266,2.72821,1.48375,0.05788,0.10545,0.04697,0.02116,2.48259,2.51647,1.40766,0.009307,0.009307,0.009307
9,4057.66,2.66893,2.68586,1.47274,0.12972,0.06724,0.04252,0.01792,2.52783,2.59111,1.48607,0.009208,0.009208,0.009208
10,4802.91,2.67502,2.75143,1.46135,0.12572,0.07331,0.03841,0.01643,2.43039,2.58589,1.35814,0.009109,0.009109,0.009109
11,5202.49,2.5704,2.61497,1.40207,0.04098,0.0965,0.03891,0.01519,2.46136,2.48573,1.36689,0.00901,0.00901,0.00901
12,5725.44,2.52368,2.54513,1.37925,0.0785,0.10595,0.0555,0.02578,2.3395,2.34028,1.32531,0.008911,0.008911,0.008911
13,6126.17,2.4767,2.49007,1.35972,0.13806,0.07473,0.05692,0.02789,2.25908,2.30814,1.30431,0.008812,0.008812,0.008812
14,6672.55,2.42445,2.45175,1.3402,0.38003,0.09247,0.06321,0.03026,2.25907,2.25518,1.32193,0.008713,0.008713,0.008713
15,6938.35,2.43345,2.43415,1.32164,0.159,0.07559,0.05964,0.03073,2.24911,2.29983,1.27954,0.008614,0.008614,0.008614
16,7058.89,2.37971,2.37887,1.2982,0.13461,0.14685,0.11723,0.06865,2.32279,2.25359,1.27612,0.008515,0.008515,0.008515
17,7413.35,2.32744,2.33867,1.30577,0.11714,0.1738,0.11714,0.06898,2.18854,2.19294,1.28372,0.008416,0.008416,0.008416
18,7996.78,2.32231,2.31401,1.28188,0.13751,0.188,0.13992,0.07946,2.16373,2.13952,1.24112,0.008317,0.008317,0.008317
19,8445.51,2.30543,2.23476,1.27393,0.10608,0.16117,0.11009,0.05689,2.14807,2.11639,1.26621,0.008218,0.008218,0.008218
20,8796.8,2.30695,2.25358,1.27681,0.34382,0.15544,0.14881,0.08945,2.14942,2.12651,1.23915,0.008119,0.008119,0.008119
21,9041.69,2.2647,2.20169,1.26046,0.1859,0.21676,0.17703,0.10433,2.13771,2.03574,1.23283,0.00802,0.00802,0.00802
22,9661.12,2.23443,2.1563,1.24253,0.17565,0.19333,0.15602,0.08839,2.11116,1.99834,1.22724,0.007921,0.007921,0.007921
23,10357.4,2.22302,2.14736,1.24686,0.50464,0.16239,0.167,0.09275,2.11136,1.99316,1.21396,0.007822,0.007822,0.007822
24,10611.9,2.22331,2.16063,1.24862,0.2739,0.20314,0.17133,0.09206,2.11545,1.96467,1.2151,0.007723,0.007723,0.007723
25,11312,2.17955,2.07622,1.22311,0.38382,0.20646,0.18971,0.11233,2.05889,1.95831,1.19846,0.007624,0.007624,0.007624
26,11630.6,2.1675,2.05479,1.21376,0.35633,0.19939,0.18137,0.10356,2.05297,1.94969,1.20663,0.007525,0.007525,0.007525
27,12437.6,2.1793,2.07027,1.21585,0.36321,0.2063,0.18962,0.09475,2.17553,1.96581,1.20753,0.007426,0.007426,0.007426
28,12890.7,2.19465,2.06964,1.23202,0.46726,0.20198,0.19157,0.10656,2.07039,1.89633,1.19753,0.007327,0.007327,0.007327
29,13346.4,2.19894,2.04957,1.21677,0.38726,0.21285,0.20016,0.12017,2.06488,1.90879,1.20341,0.007228,0.007228,0.007228
30,13620,2.16311,1.99813,1.21658,0.27957,0.24556,0.20707,0.12103,2.02487,1.86289,1.18244,0.007129,0.007129,0.007129
31,14179.9,2.14217,2.00077,1.20437,0.40181,0.22213,0.2047,0.11831,2.00907,1.86003,1.17169,0.00703,0.00703,0.00703
32,14618.2,2.12411,1.9784,1.19243,0.32821,0.2165,0.21449,0.11426,2.09453,1.86749,1.19354,0.006931,0.006931,0.006931
33,14906.9,2.12688,1.96523,1.18681,0.36558,0.23313,0.20199,0.11389,2.0343,1.84413,1.17303,0.006832,0.006832,0.006832
34,15102.6,2.09524,1.94603,1.17361,0.36284,0.22768,0.21439,0.11885,2.05311,1.86166,1.18242,0.006733,0.006733,0.006733
35,15450.4,2.08637,1.93022,1.19064,0.39212,0.26362,0.22922,0.1377,1.98736,1.80858,1.17558,0.006634,0.006634,0.006634
36,15902.5,2.11131,1.91318,1.17958,0.2989,0.24812,0.21975,0.12129,1.97167,1.85809,1.15725,0.006535,0.006535,0.006535
37,16356.5,2.06388,1.90785,1.16626,0.43692,0.24069,0.22895,0.13233,1.99843,1.77593,1.16408,0.006436,0.006436,0.006436
38,16792.2,2.0923,1.87952,1.19098,0.43602,0.26123,0.24754,0.14953,1.92957,1.73836,1.15461,0.006337,0.006337,0.006337
